name,location_color,location,year_color,year
EVD68/Homo_sapiens/USA/MO1/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO10/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO11/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO12/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO13/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO14/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO15/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO16/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO17/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO18/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO19/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO2/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO20/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO21/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO22/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO23/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO24/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO25/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO26/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO27/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO28/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO3/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO30/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO31/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO32/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO33/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO34/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO35/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO36/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO37/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO38/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO39/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO4/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO40/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO41/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO42/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO43/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO44/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO45/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO46/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO47/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO48/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO49/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO5/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO50/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO51/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO53/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO54/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO56/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO57/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO58/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO59/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO6/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO60/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO7/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO8/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/MO9/2014,#698fda,USA,#bb1133,2014
EVD68/Homo_sapiens/USA/N0051U5/2012,#698fda,USA,#dc143c,2012
EVD68/Homo_sapiens/XXX/ATCC_VR-1197/XXXX,#698fda,USA,#fde8ec,1962
EVD68/SZ01/CHN/2015,#F0222B,CHN,#a30f2d,2015
EVD68/SZ02/CHN/2015,#F0222B,CHN,#a30f2d,2015
EVD68/SZ03/CHN/2015,#F0222B,CHN,#a30f2d,2015
EVD68/SZ04/CHN/2015,#F0222B,CHN,#a30f2d,2015
Fermon,#698fda,USA,#fde8ec,1962
JPOC10-290,#D3D3D3,JPN,#eb2d53,2010
JPOC10-378,#D3D3D3,JPN,#eb2d53,2010
JPOC10-396,#D3D3D3,JPN,#eb2d53,2010
JPOC10-404,#D3D3D3,JPN,#eb2d53,2010
MEX/DF/2014-InDRE2351,#087808,MEX,#bb1133,2014
MEX/DGO/2014-InDRE2271,#087808,MEX,#bb1133,2014
NY10_16,#698fda,USA,#5d091a,2016
NY120,#698fda,USA,#bb1133,2014
NY124,#698fda,USA,#bb1133,2014
NY126,#698fda,USA,#bb1133,2014
NY126_16,#698fda,USA,#5d091a,2016
NY130,#698fda,USA,#bb1133,2014
NY135_16,#698fda,USA,#5d091a,2016
NY141_16,#698fda,USA,#5d091a,2016
NY149_16,#698fda,USA,#5d091a,2016
NY151_16,#698fda,USA,#5d091a,2016
NY153,#698fda,USA,#bb1133,2014
NY160,#698fda,USA,#bb1133,2014
NY166_16,#698fda,USA,#5d091a,2016
NY172_16,#698fda,USA,#5d091a,2016
NY185_16,#698fda,USA,#5d091a,2016
NY188_16,#698fda,USA,#5d091a,2016
NY210,#698fda,USA,#bb1133,2014
NY212_16,#698fda,USA,#5d091a,2016
NY22_16,#698fda,USA,#5d091a,2016
NY230_16,#698fda,USA,#5d091a,2016
NY234_16,#698fda,USA,#5d091a,2016
NY241_16,#698fda,USA,#5d091a,2016
NY263,#698fda,USA,#bb1133,2014
NY275,#698fda,USA,#bb1133,2014
NY278,#698fda,USA,#bb1133,2014
NY29_16,#698fda,USA,#5d091a,2016
NY30_16,#698fda,USA,#5d091a,2016
NY305,#698fda,USA,#bb1133,2014
NY309,#698fda,USA,#bb1133,2014
NY314,#698fda,USA,#bb1133,2014
NY316,#698fda,USA,#bb1133,2014
NY326,#698fda,USA,#bb1133,2014
NY328,#698fda,USA,#bb1133,2014
NY329,#698fda,USA,#bb1133,2014
NY39_16,#698fda,USA,#5d091a,2016
NY43_16,#698fda,USA,#5d091a,2016
NY44_16,#698fda,USA,#5d091a,2016
Ny59_16,#698fda,USA,#5d091a,2016
NY73,#698fda,USA,#bb1133,2014
NY74,#698fda,USA,#bb1133,2014
NY75_16,#698fda,USA,#5d091a,2016
NY77,#698fda,USA,#bb1133,2014
NYC403,#698fda,USA,#ee4466,2009
NYS14_28173,#698fda,USA,#bb1133,2014
NYS14_30603,#698fda,USA,#bb1133,2014
NYS14_30609,#698fda,USA,#bb1133,2014
NYS14_30905,#698fda,USA,#bb1133,2014
NYS14_30917,#698fda,USA,#bb1133,2014
NYS14_31249,#698fda,USA,#bb1133,2014
NYS14_31590,#698fda,USA,#bb1133,2014
NYS14_32132,#698fda,USA,#bb1133,2014
NYS14_32368,#698fda,USA,#bb1133,2014
NZ-2010-541,#f9ee8d,NZL,#eb2d53,2010
T106/Ft_Jackson_South_Carolina_USA/2002,#698fda,USA,#fbd0d9,2002
TW-00785-2014,#89cd3f,TWN,#bb1133,2014
TW-00821-2014,#89cd3f,TWN,#bb1133,2014
TW-00880-2014,#89cd3f,TWN,#bb1133,2014
TW-00893-2014,#89cd3f,TWN,#bb1133,2014
TW-00898-2014,#89cd3f,TWN,#bb1133,2014
TW-00909-2014,#89cd3f,TWN,#bb1133,2014
TW-00928-2014,#89cd3f,TWN,#bb1133,2014
TW-00932-2014,#89cd3f,TWN,#bb1133,2014
TW-02512-2014,#89cd3f,TWN,#bb1133,2014
TW-02795-2014,#89cd3f,TWN,#bb1133,2014
TW-02809-2014,#89cd3f,TWN,#bb1133,2014
US/CA/14-4231,#698fda,USA,#bb1133,2014
US/CA/14-4232,#698fda,USA,#bb1133,2014
US/CA/14-6092,#698fda,USA,#bb1133,2014
US/CA/14-6100,#698fda,USA,#bb1133,2014
US/CA/14-6103SIB,#698fda,USA,#bb1133,2014
US/CO/14-94,#698fda,USA,#bb1133,2014
US/IL/14-18952,#698fda,USA,#bb1133,2014
US/KY/14-18951,#698fda,USA,#bb1133,2014
US/KY/14-18953,#698fda,USA,#bb1133,2014
US/MO/14-18947,#698fda,USA,#bb1133,2014
US/MO/14-18948,#698fda,USA,#bb1133,2014
US/MO/14-18949,#698fda,USA,#bb1133,2014
US/MO/14-18950,#698fda,USA,#bb1133,2014
USA/AL/2014-19169,#698fda,USA,#bb1133,2014
USA/AL/2014-19241,#698fda,USA,#bb1133,2014
USA/AR/2014-19227,#698fda,USA,#bb1133,2014
USA/CO/2014-19175,#698fda,USA,#bb1133,2014
USA/CO/2014-19189,#698fda,USA,#bb1133,2014
USA/CO/2014-19190,#698fda,USA,#bb1133,2014
USA/CO/2014-19244,#698fda,USA,#bb1133,2014
USA/CO/2014-19258,#698fda,USA,#bb1133,2014
USA/CT/2014-19180,#698fda,USA,#bb1133,2014
USA/CT/2014-19201,#698fda,USA,#bb1133,2014
USA/CT/2014-19202,#698fda,USA,#bb1133,2014
USA/CT/2014-19208,#698fda,USA,#bb1133,2014
USA/CT/2014-19230,#698fda,USA,#bb1133,2014
USA/CT/2014-19233,#698fda,USA,#bb1133,2014
USA/DC/2014-19264,#698fda,USA,#bb1133,2014
USA/DE/2014-19197,#698fda,USA,#bb1133,2014
USA/FL/2014-19070,#698fda,USA,#bb1133,2014
USA/FL/2016-19504,#698fda,USA,#5d091a,2016
USA/GA/2014-19200,#698fda,USA,#bb1133,2014
USA/GA/2014-19246,#698fda,USA,#bb1133,2014
USA/IA/2014-19171,#698fda,USA,#bb1133,2014
USA/IA/2014-19225,#698fda,USA,#bb1133,2014
USA/ID/2014-19068,#698fda,USA,#bb1133,2014
USA/ID/2014-19224,#698fda,USA,#bb1133,2014
USA/ID/2014-19256,#698fda,USA,#bb1133,2014
USA/IL/2014-19179,#698fda,USA,#bb1133,2014
USA/IL/2014-19199,#698fda,USA,#bb1133,2014
USA/KS/2014-19234,#698fda,USA,#bb1133,2014
USA/KY/2014-19167,#698fda,USA,#bb1133,2014
USA/KY/2014-19182,#698fda,USA,#bb1133,2014
USA/KY/2014-19209,#698fda,USA,#bb1133,2014
USA/KY/2014-19219,#698fda,USA,#bb1133,2014
USA/KY/2014-19236,#698fda,USA,#bb1133,2014
USA/LA/2014-19168,#698fda,USA,#bb1133,2014
USA/LA/2014-19191,#698fda,USA,#bb1133,2014
USA/LA/2014-19220,#698fda,USA,#bb1133,2014
USA/MA/2014-19048,#698fda,USA,#bb1133,2014
USA/MA/2014-19183,#698fda,USA,#bb1133,2014
USA/MA/2014-19232,#698fda,USA,#bb1133,2014
USA/MD/2014-19235,#698fda,USA,#bb1133,2014
USA/MI/2014-19198,#698fda,USA,#bb1133,2014
USA/MI/2014-19221,#698fda,USA,#bb1133,2014
USA/MI/2014-19238,#698fda,USA,#bb1133,2014
USA/MI/2014-19251,#698fda,USA,#bb1133,2014
USA/MO/2014-19166,#698fda,USA,#bb1133,2014
USA/MO/2014-19174,#698fda,USA,#bb1133,2014
USA/MS/2014-19052,#698fda,USA,#bb1133,2014
USA/MS/2014-19204,#698fda,USA,#bb1133,2014
USA/MS/2014-19243,#698fda,USA,#bb1133,2014
USA/MT/2014-19216,#698fda,USA,#bb1133,2014
USA/NC/2014-19064,#698fda,USA,#bb1133,2014
USA/NC/2014-19229,#698fda,USA,#bb1133,2014
USA/NC/2014-19248,#698fda,USA,#bb1133,2014
USA/NC/2014-19254,#698fda,USA,#bb1133,2014
USA/ND/2014-19205,#698fda,USA,#bb1133,2014
USA/ND/2014-19252,#698fda,USA,#bb1133,2014
USA/NE/2014-19206,#698fda,USA,#bb1133,2014
USA/NE/2014-19257,#698fda,USA,#bb1133,2014
USA/NJ/2014-19212,#698fda,USA,#bb1133,2014
USA/NJ/2014-19250,#698fda,USA,#bb1133,2014
USA/NJ/2014-19262,#698fda,USA,#bb1133,2014
USA/NY/2016-19505,#698fda,USA,#5d091a,2016
USA/OH/2014-19192,#698fda,USA,#bb1133,2014
USA/OH/2014-19223,#698fda,USA,#bb1133,2014
USA/OH/2014-19240,#698fda,USA,#bb1133,2014
USA/OK/2014-19170,#698fda,USA,#bb1133,2014
USA/OK/2014-19247,#698fda,USA,#bb1133,2014
USA/OR/2014-19073,#698fda,USA,#bb1133,2014
USA/PA/2014-19035,#698fda,USA,#bb1133,2014
USA/PA/2014-19177,#698fda,USA,#bb1133,2014
USA/PA/2014-19263,#698fda,USA,#bb1133,2014
USA/RI/2014-19203,#698fda,USA,#bb1133,2014
USA/RI/2014-19213,#698fda,USA,#bb1133,2014
USA/RI/2014-19214,#698fda,USA,#bb1133,2014
USA/SC/2014-19196,#698fda,USA,#bb1133,2014
USA/SC/2014-19215,#698fda,USA,#bb1133,2014
USA/SC/2014-19239,#698fda,USA,#bb1133,2014
USA/SD/2014-19193,#698fda,USA,#bb1133,2014
USA/SD/2014-19194,#698fda,USA,#bb1133,2014
USA/SD/2014-19207,#698fda,USA,#bb1133,2014
USA/SD/2014-19249,#698fda,USA,#bb1133,2014
USA/TN/2014-19260,#698fda,USA,#bb1133,2014
USA/TX/2014-19185,#698fda,USA,#bb1133,2014
USA/TX/2014-19228,#698fda,USA,#bb1133,2014
USA/TX/2014-19261,#698fda,USA,#bb1133,2014
USA/TX/2016-19506,#698fda,USA,#5d091a,2016
USA/UT/2014-19195,#698fda,USA,#bb1133,2014
USA/VA/2014-19178,#698fda,USA,#bb1133,2014
USA/VA/2014-19181,#698fda,USA,#bb1133,2014
USA/VA/2014-19187,#698fda,USA,#bb1133,2014
USA/VA/2014-19218,#698fda,USA,#bb1133,2014
USA/VA/2014-19255,#698fda,USA,#bb1133,2014
USA/VT/2014-19245,#698fda,USA,#bb1133,2014
USA/VT/2014-19259,#698fda,USA,#bb1133,2014
USA/WA/2014-19060,#698fda,USA,#bb1133,2014
USA/WA/2014-19184,#698fda,USA,#bb1133,2014
USA/WA/2014-19210,#698fda,USA,#bb1133,2014
USA/WI/2014-19217,#698fda,USA,#bb1133,2014
USA/WI/2014-19222,#698fda,USA,#bb1133,2014
USA/WI/2014-19226,#698fda,USA,#bb1133,2014
USA/WV/2014-19242,#698fda,USA,#bb1133,2014
USA/WY/2014-19051,#698fda,USA,#bb1133,2014
USA/WY/2014-19253,#698fda,USA,#bb1133,2014
V12-2268728, #ff33a0,HKG,#dc143c,2012
V13-2245157, #ff33a0,HKG,#d2143a,2013
V14-8151546, #ff33a0,HKG,#bb1133,2014
37-99,#E89C96,FRA,#f6a2b3,2005